Pnum,Owner,Species,State.code,Closed,Clear.date,Suspected.predation,Lay.date,Expected.hatch.date,Hatch.date,Total.egg.weight,Num.eggs.weighed,Clutch.size,Num.chicks,Num.chicks.ringed,Num.dead.chicks,Num.fledglings,Mean.chick.weight,Father,Mother,Dead.ringed.chick.ids,Comments
20201CP39,Keith Mc Mahon,b,6,TRUE,02/06/2020,NA,22/04/2020,11/05/2020,12/05/2020,3.1,3,7,5,5,3,2,10.06,avl5141,NA,"avl5349, avl5352, avl5348",FON
20201CP40A,Keith Mc Mahon,b,6,TRUE,27/05/2020,NA,13/04/2020,05/05/2020,04/05/2020,4.6,4,10,9,9,0,9,11.41,s884624,z628086,NA,FON
20201CP41,Keith Mc Mahon,b,6,TRUE,18/05/2020,NA,13/04/2020,04/05/2020,06/05/2020,3.9,4,9,6,0,6,0,NA,NA,NA,NA,"FON, FON"
20201CP43,Keith Mc Mahon,g,6,TRUE,07/07/2020,TRUE,18/04/2020,07/05/2020,08/05/2020,6.7,4,7,6,0,0,0,NA,NA,NA,NA,"FON, FON"
20201EX100,Sam Crofts,b,6,TRUE,04/06/2020,NA,14/04/2020,07/05/2020,NA,4.6,4,11,NA,0,0,0,NA,NA,NA,NA,"eggs are cold, Female unringed, eggs are cold, eggs are cold"
20201EX101,Sam Crofts,b,6,TRUE,01/06/2020,NA,14/04/2020,06/05/2020,07/05/2020,4.2,4,10,10,10,0,10,11.02,afh4674,avl3614,NA,"eggs are cold, female ringed, no PIT detected"
20201EX102,Sam Crofts,b,6,TRUE,01/06/2020,NA,18/04/2020,10/05/2020,10/05/2020,3.3,3,10,9,9,0,9,10.28,j215699,avl7577,NA,eggs are cold
20201EX103,Sam Crofts,b,6,TRUE,01/06/2020,NA,14/04/2020,06/05/2020,06/05/2020,4.2,4,10,9,9,0,9,10.96,avl3520,and6348,NA,no PIT detected
20201EX104,Sam Crofts,b,6,TRUE,01/06/2020,NA,16/04/2020,09/05/2020,08/05/2020,5,4,11,10,10,0,10,10.89,afh5063,j215902,NA,"eggs are cold, female ringed"
20201EX105,Sam Crofts,b,6,TRUE,01/06/2020,NA,19/04/2020,09/05/2020,09/05/2020,4.2,4,8,7,7,0,7,10.6,NA,avl3706,NA,no PIT detected
20201EX106,Sam Crofts,b,6,TRUE,01/06/2020,NA,15/04/2020,07/05/2020,07/05/2020,4.1,4,10,8,8,0,8,10.49,NA,avl3615,NA,"eggs are cold, No PIT detected"
20201EX107,Sam Crofts,b,6,TRUE,01/06/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201EX108,Sam Crofts,b,6,TRUE,03/06/2020,NA,29/04/2020,20/05/2020,20/05/2020,3.5,3,9,9,0,8,0,NA,NA,NA,NA,"female ringed, No more attempts at catching adults due to poor condition of chicks"
20201EX109,Sam Crofts,b,6,TRUE,01/06/2020,NA,14/04/2020,06/05/2020,05/05/2020,4.6,4,10,10,10,0,10,10.6,NA,afh5014,NA,NA
20201EX110,Sam Crofts,b,6,TRUE,01/06/2020,NA,13/04/2020,05/05/2020,04/05/2020,4.7,4,10,9,9,0,9,11,NA,avl3506,NA,"eggs uncovered, FON try again?"
20201EX111,Sam Crofts,b,6,TRUE,01/06/2020,NA,13/04/2020,05/05/2020,05/05/2020,4.3,4,10,10,10,0,10,10.65,z101858,afh5585,NA,Female ringed
20201EX112,Sam Crofts,b,6,TRUE,01/06/2020,NA,21/04/2020,10/05/2020,10/05/2020,3.6,4,7,7,7,0,7,10.41,NA,avl3831,NA,"female unringed, No PIT detected"
20201EX113,Sam Crofts,b,6,TRUE,01/06/2020,NA,12/04/2020,04/05/2020,04/05/2020,4,4,10,9,9,0,9,11.16,and6321,s883263,NA,"eggs uncovered, s883263"
20201EX114,Sam Crofts,b,6,TRUE,01/06/2020,NA,21/04/2020,10/05/2020,10/05/2020,3.4,3,7,5,5,0,5,11.2,avl3832,j215750,NA,"female ringed, female ringed 01103f9214"
20201EX115,Sam Crofts,b,6,TRUE,01/06/2020,NA,18/04/2020,09/05/2020,09/05/2020,3.1,3,9,6,6,0,6,10.93,avl3522,avl3617,NA,"eggs are cold, No PIT detected"
20201EX116,Sam Crofts,b,6,TRUE,01/06/2020,NA,15/04/2020,07/05/2020,06/05/2020,3.4,3,10,10,10,0,10,11.19,avl3522,afh4172,NA,no PIT detected
20201EX117,Sam Crofts,b,6,TRUE,12/06/2020,NA,22/04/2020,11/05/2020,11/05/2020,4.4,4,7,4,4,0,4,11.18,avl7578,avl7589,NA,"eggs are cold, Female unringed, female unringed, No PIT detected"
20201EX118,Sam Crofts,b,6,TRUE,01/06/2020,NA,17/04/2020,08/05/2020,NA,4.7,4,9,NA,0,0,0,NA,NA,NA,NA,"eggs are cold, female ringed, eggs are cold, eggs are cold, abandoned"
20201EX119,Sam Crofts,b,6,TRUE,01/06/2020,NA,15/04/2020,06/05/2020,06/05/2020,3.3,3,9,8,8,4,4,8.52,afh3793,avl3521,"avl3838, avl3837, avl3839, avl3836","dead bat, female unringed, female unringed"
20201EX120,Sam Crofts,g,6,TRUE,01/06/2020,NA,15/04/2020,06/05/2020,06/05/2020,5.6,4,9,9,9,0,9,18.39,ty68003,vz29516,NA,0700ed9ef7
20201EX121,Sam Crofts,b,6,TRUE,12/06/2020,NA,19/04/2020,NA,NA,5.1,4,5,NA,0,0,0,NA,NA,NA,NA,"eggs are cold, eggs are cold, eggs are cold, abandoned"
20201EX122,Sam Crofts,b,6,TRUE,12/06/2020,NA,23/04/2020,13/05/2020,13/05/2020,4,4,8,7,7,1,6,8.86,avl7667,and6833,avl7422,NA
20201EX123,Sam Crofts,b,6,TRUE,01/06/2020,NA,16/04/2020,08/05/2020,08/05/2020,4.2,4,10,10,10,0,10,10.49,afh3591,avl3616,NA,eggs are cold
20201EX124,Sam Crofts,b,6,TRUE,01/06/2020,NA,20/04/2020,10/05/2020,10/05/2020,4.8,4,8,7,6,1,5,9.33,NA,afh5497,avl7744,NA
20201EX125,Sam Crofts,b,6,TRUE,01/06/2020,NA,21/04/2020,10/05/2020,10/05/2020,4.1,3,7,7,6,2,5,10.05,avl3834,afh5500,avl7735,likley one unringed bluti
20201EX126,Sam Crofts,b,6,TRUE,01/06/2020,NA,19/04/2020,10/05/2020,10/05/2020,4.7,4,9,8,2,5,2,9.95,NA,avl3833,NA,"female unringed, female unringed, No PIT detected"
20201EX127,Sam Crofts,b,6,TRUE,01/06/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201EX21,Sam Crofts,g,6,TRUE,01/06/2020,NA,15/04/2020,06/05/2020,06/05/2020,6.8,4,9,9,9,2,7,17.71,NA,NA,"ty68114, ty68113","eggs are cold, no PIT detected"
20201EX22,Sam Crofts,b,6,TRUE,12/06/2020,NA,15/04/2020,05/05/2020,23/05/2020,3.4,3,8,4,4,1,3,11.02,s882723,avl7441,avl7445,"eggs are cold, eggs are cold, Nest was soaking wet, eggs were burried deep and cold despite female being on the nest"
20201EX49C,Sam Crofts,b,6,TRUE,27/05/2020,NA,21/04/2020,12/05/2020,13/05/2020,6,3,9,8,0,8,0,NA,NA,avl5189,NA,fon
20201MP97,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201MP98,Keith Mc Mahon,g,6,TRUE,15/05/2020,NA,18/04/2020,07/05/2020,11/05/2020,5.5,3,7,2,0,2,0,NA,NA,NA,NA,"female unringed, one egg empty not hatched, not hatched, not hatched"
20201O217,Sam Crofts,b,6,TRUE,30/05/2020,NA,21/04/2020,10/05/2020,08/05/2020,5,4,7,7,7,0,7,10.64,avl6202,afh3379,NA,"Faceboard had fallen off, put back on when I arrived, FON, FON"
20201O30A,Sam Crofts,b,6,TRUE,27/05/2020,NA,14/04/2020,03/05/2020,03/05/2020,NA,NA,7,7,7,0,7,11.56,NA,akd3348,NA,FON
20201P1,Keith Mc Mahon,b,6,TRUE,05/05/2020,TRUE,15/04/2020,06/05/2020,NA,3.3,3,9,NA,0,0,0,NA,NA,NA,NA,"female unringed, weasel"
