"species","Model_Code","Metric_Code","Trait_Code","pct_change","Model","Metric"
"Pan troglodytes","NoPeak","Mean","LRO",-1.35220199061961,"No-senescence-peak","Mean LRO"
"Pan troglodytes","NoPeak","Var","LRO",-9.07299731876768,"No-senescence-peak","Variance LRO"
"Pan troglodytes","NoPeak","Skew","LRO",-15.4515075895829,"No-senescence-peak","Skewness LRO"
"Pan troglodytes","NoEarly","Mean","LRO",-3.81285610579262,"No-senescence-early","Mean LRO"
"Pan troglodytes","NoEarly","Var","LRO",-59.6966053328703,"No-senescence-early","Variance LRO"
"Pan troglodytes","NoEarly","Skew","LRO",-70.5410720770312,"No-senescence-early","Skewness LRO"
"Pan troglodytes","NoLate","Mean","LRO",-0.547983698541768,"No-senescence-late","Mean LRO"
"Pan troglodytes","NoLate","Var","LRO",-1.57558537768502,"No-senescence-late","Variance LRO"
"Pan troglodytes","NoLate","Skew","LRO",-0.935307160807844,"No-senescence-late","Skewness LRO"
"Panthera leo","NoPeak","Mean","Lifespan",-1.80262968381805,"No-senescence-peak","Mean Lifespan"
"Panthera leo","NoPeak","Var","Lifespan",-11.0317698147348,"No-senescence-peak","Variance Lifespan"
"Panthera leo","NoPeak","Skew","Lifespan",-24.1335500282539,"No-senescence-peak","Skewness Lifespan"
"Panthera leo","NoEarly","Mean","Lifespan",-4.2165366067887,"No-senescence-early","Mean Lifespan"
"Panthera leo","NoEarly","Var","Lifespan",-64.5884607657498,"No-senescence-early","Variance Lifespan"
"Panthera leo","NoEarly","Skew","Lifespan",-139.229477840458,"No-senescence-early","Skewness Lifespan"
"Panthera leo","NoLate","Mean","Lifespan",-0.699136000961196,"No-senescence-late","Mean Lifespan"
"Panthera leo","NoLate","Var","Lifespan",-3.47096286848948,"No-senescence-late","Variance Lifespan"
"Panthera leo","NoLate","Skew","Lifespan",-6.05187868797077,"No-senescence-late","Skewness Lifespan"
"Panthera leo","NoPeak","Mean","LRO",-5.75886429665945,"No-senescence-peak","Mean LRO"
"Panthera leo","NoPeak","Var","LRO",-17.158227069408,"No-senescence-peak","Variance LRO"
"Panthera leo","NoPeak","Skew","LRO",-10.1078196889052,"No-senescence-peak","Skewness LRO"
"Panthera leo","NoEarly","Mean","LRO",-3.8872969813407,"No-senescence-early","Mean LRO"
